R,<1.2|LSZ|2.3>
1.4,-35.669658367841
1.45,-36.595621185683
1.5,-37.461192893079
1.55,-38.272565041713
1.6,-39.030092196097
1.65,-39.774146472418
1.7,-40.497647437767
1.75,-41.194074583846
1.8,-41.877074848296
1.85,-42.543630188629
1.9,-43.197823103416
1.95,-43.830161923902
2,-43.952059488081
2.05,-44.075455215893
2.06,-44.200296292803
2.07,-44.32124700615
2.08,-44.44212105902
2.09,-44.55972991755
2.1,-44.680899866026
2.11,-28.206668005873
2.12,-28.388523821891
2.14,-44.915998105281
2.141,-44.925338650735
2.142,-44.939299983405
2.143,-44.94861769762
2.144,-44.962550441457
2.145,-44.974163536515
2.146,-44.983460991159
2.147,-44.995055333184
2.148,-45.006648390353
2.149,-45.018250533526
2.15,-45.029761264209
2.151,-45.043614116854
2.152,-45.052879514549
2.153,-45.064412948058
2.154,-45.075916767102
2.155,-45.089681015625
2.156,-45.101231539918
2.157,-45.112697577767
2.158,-45.124178329756
2.159,-45.135709395097
2.16,-45.147099895265
2.2,-45.596569887143
2.25,-46.131110102802
2.3,-46.627389569511
2.35,-47.080887652735
2.4,-47.482893860718
2.45,-47.821562134656
2.5,-48.094388046992
2.55,-48.282908602793
2.6,-48.374904280092
2.65,-48.361488042952
2.7,-48.228476847091
2.75,-47.956707178783
2.8,-47.531917409277
2.85,-46.943703364465
2.9,-46.177074957639
2.95,-45.221453171227
3,-44.069135623805
3.05,-42.724267048241
3.1,-41.190435501025
3.15,-42.885020170104
3.2,-40.900656372362
3.25,-38.670690508548
3.3,-36.21084822024
3.35,-33.538728855006
3.4,-30.671399532458
3.45,-27.655139929792
3.5,-24.523717313252
3.55,-21.289591800006
3.6,-17.843713467124
3.65,-13.545427260427
3.7,-8.549894486495
3.75,-4.294963534837
3.8,-0.711778838885
3.85,2.30714764059
3.9,-4.764215650209
3.95,0.268266563807
4,1.819010912954
4.05,3.032855017237
4.1,3.933713740347
4.15,4.593435325747
4.2,5.053674045304
4.25,5.377555302378
4.3,5.537989154025
4.35,5.585240914718
4.4,5.546109677106
4.45,5.436695870805
4.5,5.273638418108
4.55,5.091947481623
4.6,4.861429049397
4.65,4.614293355763
4.7,4.352395738773
4.75,4.08778328328
4.8,3.822855631326
4.85,3.561986182908
4.9,3.307847239641
4.95,3.062737772581
5,2.809606287467
5.05,2.586053657244
5.1,2.374244511575
5.15,2.172399998426
5.2,1.984150398457
5.25,1.809593117432
5.3,1.64259501605
5.35,1.485914097082
5.4,1.342129602799
5.45,1.206441628383
5.5,1.061161090587
5.55,0.943302634049
5.6,0.832824990348
5.65,0.729977873852
5.7,0.632562349868
5.75,0.539288729855
5.8,0.451781102262
5.85,0.368603107746
5.9,0.291726033064
5.95,0.216016961451
6.1,0.090464881273
6.15,0.034208001443
6.2,-0.008412400702
6.25,-0.037869187226
6.3,-0.046787271988
6.35,-0.034259987618
6.4,-0.018735888856
6.45,0.002862526864
6.55,0.032268301198
6.65,0.121301974994
6.7,0.101593902856
6.75,0.126623814515
6.8,0.148420814185
6.85,0.166233312599
6.9,0.181177122066
6.95,0.19295780687
7,0.209396565683
7.05,0.223577929148
7.1,0.219161090345
7.15,0.231342108354
7.2,0.224984931652
7.25,0.226790621811
7.4,0.225299832242
7.45,0.222489984068
7.65,0.219279580998
7.7,0.196511912917
7.75,0.182122133507
7.85,0.166287259538
7.9,0.151628245046
7.95,0.14284251343
