R,A2Pi2
1.4,40239.42603001
1.45,35306.8100085696
1.5,31102.7792688198
1.55,27534.2830527192
1.6,24526.33581213
1.65,22011.2200384093
1.7,19929.01062648
1.75,18226.5035263896
1.8,16856.6007801797
1.85,15777.51243689
1.86,15593.2554096999
1.87,15418.8558739796
1.88,15254.0491536297
1.89,15098.5688144593
1.9,14952.1587111698
1.91,14814.5678796498
1.92,14685.5514235897
1.93,14564.8693617592
1.94,14452.2804585295
1.95,14347.5801345594
1.96,14250.5132667292
1.97,14160.8826272292
1.98,14078.4678967996
1.981,14070.6153486595
1.982,14062.8320933999
1.983,14055.1196876196
1.984,14047.47617142
1.985,14039.9019212797
1.986,14032.3967356998
1.987,14024.9598519998
1.988,14017.5922048595
1.989,14010.29299819
1.99,14003.06205332
1.991,13995.8991611898
1.992,13988.8041429892
1.993,13981.7828115197
1.994,13974.8235091697
1.995,13967.9309319397
1.996,13961.1053709192
1.997,13954.3466088492
1.998,13947.6545644095
1.999,13941.0289756693
2,13934.4696557997
2.001,13927.9764015898
2.002,13921.54902888
2.003,13915.1873353301
2.004,13908.8911322393
2.005,13902.6601859098
2.006,13896.49436229
2.007,13890.3936967598
2.008,13884.35748138
2.009,13878.3857958093
2.01,13872.4784353897
2.011,13866.6352016097
2.012,13860.8559172796
2.013,13855.1403858894
2.014,13849.4884209894
2.015,13843.8998336894
2.016,13838.3738684095
2.017,13832.9115710398
2.018,13827.51240383
2.019,13822.1753740795
2.02,13816.9007822294
2.03,13767.5479825996
2.04,13724.2360794395
2.05,13686.7900065398
2.06,13655.02431418
2.07,13628.77382222
2.08,13607.8720301399
2.09,13592.15530298
2.1,13581.4662842294
2.11,13575.6513982592
2.12,13574.5602700394
2.13,13578.0464427993
2.14,13585.9691326795
2.141,13587.0000021998
2.142,13588.0736095794
2.143,13589.1901369495
2.144,13590.3491235198
2.145,13591.5505409194
2.146,13592.7942670193
2.147,13594.0801582094
2.148,13595.4080441594
2.149,13596.7775181392
2.15,13598.1896088701
2.151,13599.6428334098
2.152,13601.1367691094
2.153,13602.6728617093
2.154,13604.2508340292
2.155,13605.8694785796
2.156,13607.5290159099
2.157,13609.2291638097
2.158,13610.9700129395
2.159,13612.7510872697
2.16,13614.5735118696
2.2,13719.1898677293
2.25,13929.01198225
2.3,14214.2327630492
2.35,14563.1861465899
2.4,14965.63208907
2.45,15412.5008660695
2.5,15895.6831318699
2.55,16407.9047816098
2.56,16513.2421323201
2.57,16619.4257633099
2.58,16726.4107623193
2.59,16834.1463245992
2.6,16942.5906874295
2.61,17051.6927368194
2.62,17161.4124136297
2.63,17271.7022394994
2.64,17382.5262720296
2.65,17493.8426699396
2.66,17605.60645549
2.67,17717.7803159095
2.68,17830.3260018397
2.69,17943.2040947201
2.7,18056.3761931397
2.71,18169.81542606
2.72,18283.4707083898
2.73,18397.3225872498
2.74,18511.3310951199
2.75,18625.4627766199
2.76,18739.6862226194
2.77,18853.9700739998
2.78,18968.2766238498
2.79,19082.5901663499
2.8,19196.8737159194
2.81,19311.0975021794
2.82,19425.2357454393
2.83,19539.2584252795
2.84,19653.1397046493
2.85,19766.85346149
2.86,19880.3726465693
2.87,19993.6726627797
2.88,20106.7281954195
2.89,20219.5164990993
2.9,20332.0112266494
2.91,20444.1937885294
2.92,20556.0377967199
2.93,20667.5134377694
2.94,20778.6105905995
2.95,20889.3023547297
2.96,20999.56769442
2.97,21109.3873881996
2.98,21218.7414264493
2.99,21327.6072400799
3,21435.9676026395
3.01,21543.8015911393
3.02,21651.0877223397
3.03,21757.8137957798
3.04,21863.9570774296
3.05,21969.5023666397
3.06,22074.4299447993
3.07,22178.7243127599
3.08,22282.3670877498
3.09,22385.3162800297
3.1,22487.60733392
3.15,22964.1908273101
3.2,23445.6449292693
3.25,23905.6764152395
3.3,24342.5610693395
3.35,24754.7601566697
3.4,25140.9844789095
3.45,25500.25680512
3.5,25831.9862844395
3.55,26136.0466456693
3.6,26412.8615796398
3.65,26664.2662065895
3.7,26893.6753020501
3.75,27100.5374826901
3.8,27285.3518333901
3.85,27449.8393949494
3.9,27595.9316680292
3.95,27732.6595461592
4,27843.7288117893
4.05,27941.7269871896
4.1,28028.2808645498
4.15,28104.8236429701
4.2,28172.6090331096
4.25,28232.7231732998
4.3,28286.0853810292
4.35,28333.5322626699
4.4,28375.7849771995
4.45,28413.4558298299
4.5,28447.0924320593
4.55,28477.1649511699
4.6,28504.05113291
4.65,28528.1758007193
4.7,28549.8360210201
4.75,28569.27289203
4.8,28586.8031324595
4.85,28602.5221771598
4.9,28616.7137533994
4.95,28629.5333164595
5,28641.0994843896
5.05,28651.5794859193
5.1,28661.1683230801
5.15,28669.7610764392
5.2,28677.5326133501
5.25,28684.6002681097
5.3,28691.0170847597
5.35,28696.84650381
5.4,28702.1467881296
5.45,28706.97165039
5.5,28711.4831317998
5.55,28715.5058291294
5.6,28719.1588187097
5.65,28722.5191476094
5.7,28725.55990934
5.75,28728.3339708997
5.8,28730.8557295194
5.85,28733.1423172997
5.9,28735.20955199
5.95,28737.0386162
6.05,28740.0427807393
6.1,28741.2208899297
6.15,28742.2048008796
6.2,28743.06088831
6.25,28743.8981522098
6.3,28744.6919040792
6.35,28745.4904041095
6.4,28746.2660061
6.45,28747.0136538995
6.55,28748.3421976399
6.6,28748.9903101996
6.65,28749.6077211294
6.7,28750.1727261394
6.75,28750.7554511996
6.8,28750.7867081501
6.85,28751.2375729894
6.9,28751.6812776998
6.95,28752.0822972795
7,28752.4580380693
7.05,28752.81013487
7.1,28753.1334964996
7.15,28753.4313516496
7.2,28753.7158895293
7.25,28754.43052583
7.4,28755.13072473
7.45,28755.3254947197
7.5,28755.5059722494
7.6,28755.8265697397
7.65,28755.9821073096
7.7,28756.1175613897
7.75,28756.2394859195
7.8,28756.3562588897
7.85,28756.4669629894
7.9,28756.5700291395
7.95,28756.6682040598
